property_id,city,area_sqft,bhk,bathrooms,price_lakh,furnishing
IN01940,Delhi,709,2,1,15,Unfurnished
IN01941,Kolkata,508,3,3,15,Furnished
IN01942,Hyderabad,1180,2,3,15,Unfurnished
IN01943,Mumbai,579,2,2,15,Furnished
IN01944,Delhi,1232,3,2,15,Semi
IN01945,Bangalore,455,3,2,15,Semi
IN01946,Mumbai,1245,2,2,23.96,Furnished
IN01947,Chennai,1161,2,3,15,Unfurnished
IN01948,Bangalore,818,3,2,15,Unfurnished
IN01949,Chennai,1239,1,3,15,Semi
IN01950,Hyderabad,1182,1,3,18.89,Unfurnished
IN01951,Kolkata,834,2,2,15,Semi
IN01952,Chennai,1214,2,3,20.36,Semi
IN01953,Bangalore,1672,2,2,15,Semi
IN01954,Bangalore,637,4,3,15,Semi
IN01955,Hyderabad,1420,3,2,29.99,Unfurnished
IN01956,Bangalore,972,3,2,15.1,Semi
IN01957,Hyderabad,1856,3,2,37.03,Furnished
IN01958,Kolkata,429,2,1,15,Furnished
IN01959,Hyderabad,1381,1,2,15,Semi
IN01960,Hyderabad,1000,4,2,15,Unfurnished
IN01961,Delhi,1246,3,3,15,Semi
IN01962,Delhi,616,1,3,15,Semi
IN01963,Mumbai,2043,4,2,17.19,Unfurnished
IN01964,Chennai,1298,4,1,21.47,Unfurnished
IN01965,Mumbai,1509,2,2,24.18,Unfurnished
IN01966,Chennai,446,3,2,15,Unfurnished
IN01967,Mumbai,554,2,1,15,Unfurnished
IN01968,Mumbai,966,1,1,15,Unfurnished
IN01969,Hyderabad,1012,3,2,15.48,Unfurnished
IN01970,Bangalore,1125,4,2,15.99,Unfurnished
IN01971,Bangalore,1039,2,3,15,Unfurnished
IN01972,Bangalore,1505,2,2,16.99,Furnished
IN01973,Kolkata,1875,1,2,21.76,Furnished
IN01974,Kolkata,1935,3,2,16.6,Semi
IN01975,Mumbai,1315,2,2,21.42,Furnished
IN01976,Hyderabad,695,2,2,15,Unfurnished
IN01977,Mumbai,1271,2,3,18.83,Furnished
IN01978,Delhi,875,3,2,15,Furnished
IN01979,Bangalore,675,4,2,15,Semi
IN01980,Mumbai,1694,2,3,18.31,Semi
IN01981,Chennai,1830,1,1,15,Furnished
IN01982,Delhi,300,4,1,15,Unfurnished
IN01983,Delhi,300,3,3,15,Semi
IN01984,Mumbai,986,1,1,15,Unfurnished
IN01985,Bangalore,1331,3,3,15,Semi
IN01986,Delhi,607,4,2,15,Furnished
IN01987,Delhi,1459,4,3,22.34,Semi
IN01988,Delhi,763,2,2,15,Semi
IN01989,Mumbai,1410,2,2,17.98,Semi
IN01990,Bangalore,1266,3,2,18.23,Unfurnished
IN01991,Chennai,1538,2,3,15.82,Furnished
IN01992,Mumbai,1221,3,2,20.99,Semi
IN01993,Delhi,1519,3,2,25.13,Furnished
IN01994,Bangalore,748,3,1,15,Semi
IN01995,Bangalore,706,3,2,15,Unfurnished
IN01996,Mumbai,1810,3,1,24.31,Furnished
IN01997,Mumbai,420,3,2,15,Unfurnished
IN01998,Kolkata,365,2,1,15,Unfurnished
IN01999,Mumbai,572,1,3,15,Furnished
IN02000,Delhi,952,3,2,15,Unfurnished
IN02001,Mumbai,1254,3,2,25.44,Unfurnished
IN02002,Bangalore,1621,3,2,15,Furnished
IN02003,Kolkata,1794,4,2,30.53,Unfurnished
IN02004,Hyderabad,1430,2,2,17.98,Semi
IN02005,Mumbai,962,3,1,15,Unfurnished
IN02006,Delhi,1672,1,1,20.85,Unfurnished
IN02007,Kolkata,768,3,3,15,Semi
IN02008,Hyderabad,1283,3,2,15,Furnished
IN02009,Bangalore,1395,2,1,24.36,Furnished
IN02010,Chennai,767,3,3,15,Unfurnished
IN02011,Chennai,1415,3,1,15.11,Furnished
IN02012,Chennai,917,3,3,15,Furnished
IN02013,Chennai,863,1,2,15,Semi
IN02014,Mumbai,755,3,1,15,Unfurnished
IN02015,Chennai,1741,3,3,18.88,Furnished
IN02016,Chennai,1041,3,2,15,Semi
IN02017,Kolkata,1978,1,2,15,Furnished
IN02018,Delhi,300,1,1,15,Semi
IN02019,Kolkata,938,2,3,15.04,Furnished
IN02020,Bangalore,871,4,2,15,Unfurnished
IN02021,Kolkata,986,2,2,15,Unfurnished
IN02022,Bangalore,1072,2,2,18.38,Furnished
IN02023,Kolkata,847,3,2,15,Semi
IN02024,Bangalore,1006,4,1,15,Semi
IN02025,Bangalore,1216,2,1,25.28,Semi
IN02026,Chennai,1272,4,2,15,Unfurnished
IN02027,Bangalore,300,3,1,15,Unfurnished
IN02028,Hyderabad,1261,3,1,15,Furnished
IN02029,Hyderabad,697,2,3,15,Unfurnished
IN02030,Kolkata,1317,2,2,18.66,Semi
IN02031,Delhi,739,3,1,15,Unfurnished
IN02032,Kolkata,710,1,3,15,Semi
IN02033,Delhi,1327,1,2,21.15,Semi
IN02034,Chennai,1465,1,3,16.56,Unfurnished
IN02035,Chennai,1075,3,1,15,Unfurnished
IN02036,Kolkata,989,2,2,15,Unfurnished
IN02037,Chennai,1309,1,2,22.75,Furnished
IN02038,Hyderabad,1487,1,2,27.2,Furnished
IN02039,Delhi,643,3,3,15,Unfurnished
IN02040,Bangalore,300,3,1,15,Unfurnished
IN02041,Hyderabad,822,4,2,15,Semi
IN02042,Kolkata,1519,2,2,17.68,Unfurnished
IN02043,Mumbai,878,1,1,15,Furnished
IN02044,Delhi,1300,4,3,21.92,Furnished
IN02045,Hyderabad,715,3,3,15,Furnished
IN02046,Hyderabad,1155,1,3,15,Unfurnished
IN02047,Kolkata,779,2,2,15,Unfurnished
IN02048,Bangalore,681,1,1,15,Semi
IN02049,Delhi,1037,3,1,15,Unfurnished
IN02050,Bangalore,1306,1,2,21.03,Semi
IN02051,Hyderabad,1237,2,2,15.62,Unfurnished
IN02052,Kolkata,1472,2,3,15.46,Unfurnished
IN02053,Kolkata,1427,4,1,18.51,Semi
IN02054,Mumbai,607,2,2,15,Semi
IN02055,Delhi,694,2,2,15,Furnished
IN02056,Kolkata,355,2,3,15,Furnished
IN02057,Bangalore,1154,1,3,15,Semi
IN02058,Hyderabad,1065,1,2,15,Semi
IN02059,Delhi,832,1,1,15,Unfurnished
IN02060,Mumbai,978,2,2,15,Semi
IN02061,Bangalore,1247,2,2,15.51,Semi
IN02062,Chennai,834,4,1,15,Unfurnished
IN02063,Kolkata,1397,2,1,15,Semi
IN02064,Chennai,1287,2,2,20.74,Semi
IN02065,Mumbai,1009,2,3,15,Unfurnished
IN02066,Bangalore,1265,1,2,15,Semi
IN02067,Chennai,389,3,1,15,Semi
IN02068,Kolkata,731,4,1,15,Unfurnished
IN02069,Hyderabad,1002,4,3,15,Semi
IN02070,Bangalore,1409,2,1,15.05,Unfurnished
IN02071,Hyderabad,718,3,2,15,Semi
IN02072,Bangalore,1089,4,3,15.25,Unfurnished
IN02073,Bangalore,1388,2,2,20.72,Semi
IN02074,Delhi,1194,2,1,15,Unfurnished
IN02075,Mumbai,1704,1,1,15.09,Furnished
IN02076,Delhi,1084,1,2,16.96,Semi
IN02077,Chennai,1416,3,1,15,Unfurnished
IN02078,Chennai,300,1,3,15,Unfurnished
IN02079,Mumbai,1098,1,3,15,Unfurnished
IN02080,Kolkata,907,3,2,15,Semi
IN02081,Delhi,611,3,2,15,Unfurnished
IN02082,Chennai,1244,3,1,15,Unfurnished
IN02083,Hyderabad,1073,1,1,16.07,Furnished
IN02084,Bangalore,1093,2,3,15,Unfurnished
IN02085,Chennai,1282,2,2,16.02,Furnished
IN02086,Mumbai,1629,2,1,26.94,Furnished
IN02087,Mumbai,1080,2,2,19.92,Furnished
IN02088,Delhi,1381,1,3,24.62,Semi
IN02089,Chennai,1725,3,3,21.08,Unfurnished
IN02090,Bangalore,1358,4,1,15,Semi
IN02091,Chennai,1035,3,1,15,Furnished
IN02092,Delhi,974,2,2,15.54,Furnished
IN02093,Mumbai,300,2,2,15,Semi
IN02094,Chennai,947,3,2,15,Unfurnished
IN02095,Kolkata,300,2,2,15,Unfurnished
IN02096,Hyderabad,1063,2,3,15,Semi
IN02097,Hyderabad,844,3,3,15,Semi
IN02098,Hyderabad,1494,4,2,16.01,Semi
IN02099,Hyderabad,1758,1,2,25.36,Unfurnished
IN02100,Mumbai,1313,4,2,17.14,Furnished
IN02101,Chennai,1038,3,3,17.42,Semi
IN02102,Mumbai,1312,2,1,15,Furnished
IN02103,Hyderabad,1556,3,1,29.46,Furnished
IN02104,Mumbai,775,3,1,15,Furnished
IN02105,Hyderabad,932,2,1,15.04,Semi
IN02106,Mumbai,1834,1,2,33.01,Semi
IN02107,Chennai,1267,3,1,15,Semi
IN02108,Mumbai,1366,1,1,31.58,Semi
IN02109,Bangalore,1355,3,2,15.08,Furnished
IN02110,Hyderabad,863,2,2,21.56,Furnished
IN02111,Mumbai,1413,2,2,23.52,Furnished
IN02112,Bangalore,1477,1,2,15,Semi
IN02113,Delhi,1378,3,2,15,Unfurnished
IN02114,Kolkata,1100,3,2,15,Furnished
IN02115,Mumbai,1259,4,1,15,Unfurnished
IN02116,Bangalore,2005,1,2,15,Semi
IN02117,Chennai,1171,1,3,15,Semi
IN02118,Mumbai,1679,2,1,17.65,Semi
IN02119,Mumbai,2077,4,3,29.54,Furnished
IN02120,Mumbai,300,2,3,15,Unfurnished
IN02121,Delhi,1664,3,3,16.07,Furnished
IN02122,Kolkata,1704,2,2,15,Unfurnished
IN02123,Mumbai,2222,2,2,23.59,Furnished
IN02124,Kolkata,627,2,3,15,Unfurnished
IN02125,Mumbai,1321,1,2,15,Semi
IN02126,Kolkata,1224,1,1,23.0,Furnished
IN02127,Delhi,300,3,2,15,Furnished
IN02128,Mumbai,466,2,2,15,Unfurnished
IN02129,Chennai,539,2,2,15,Unfurnished
IN02130,Chennai,1236,4,2,18.52,Semi
IN02131,Chennai,1572,4,2,15.06,Semi
IN02132,Delhi,1826,1,2,25.23,Furnished
IN02133,Chennai,300,4,3,15,Unfurnished
IN02134,Bangalore,1384,1,3,18.79,Furnished
IN02135,Kolkata,583,3,1,15,Semi
IN02136,Bangalore,301,2,2,15,Furnished
IN02137,Mumbai,508,2,1,15,Unfurnished
IN02138,Kolkata,1153,2,2,15,Semi
IN02139,Delhi,1170,3,3,15,Unfurnished
IN02140,Chennai,759,2,3,16.19,Furnished
IN02141,Mumbai,1119,1,2,15,Unfurnished
IN02142,Chennai,1523,3,1,20.59,Semi
IN02143,Bangalore,688,2,2,15,Furnished
IN02144,Bangalore,750,1,2,15,Furnished
IN02145,Chennai,664,3,2,15,Semi
IN02146,Chennai,1295,2,3,15,Furnished
IN02147,Chennai,2446,4,2,30.5,Furnished
IN02148,Delhi,833,2,1,15,Unfurnished
IN02149,Kolkata,1599,4,2,19.82,Unfurnished
IN02150,Bangalore,1221,3,1,19.11,Semi
IN02151,Delhi,765,1,2,15,Unfurnished
IN02152,Kolkata,480,3,1,15,Furnished
IN02153,Kolkata,1189,2,2,17.13,Unfurnished
IN02154,Delhi,1041,1,2,15,Furnished
IN02155,Kolkata,784,2,2,15,Unfurnished
IN02156,Chennai,1149,2,3,15,Furnished
IN02157,Bangalore,797,2,1,15,Semi
IN02158,Kolkata,1056,1,1,15,Semi
IN02159,Delhi,1255,4,2,17.32,Semi
IN02160,Bangalore,1277,4,3,18.96,Furnished
IN02161,Hyderabad,1072,2,1,19.53,Unfurnished
IN02162,Hyderabad,1105,4,3,17.14,Semi
IN02163,Kolkata,549,3,2,15,Unfurnished
IN02164,Delhi,1027,4,1,15,Furnished
IN02165,Kolkata,1082,2,1,15,Semi
IN02166,Chennai,662,3,2,15,Furnished
IN02167,Bangalore,942,3,3,15,Furnished
IN02168,Delhi,300,4,3,15,Semi
IN02169,Mumbai,1407,2,2,15,Unfurnished
IN02170,Bangalore,1409,2,1,15,Furnished
IN02171,Bangalore,1945,2,3,17.83,Semi
IN02172,Mumbai,473,3,3,15,Furnished
IN02173,Chennai,1273,4,2,15,Furnished
IN02174,Mumbai,1266,3,3,15,Semi
IN02175,Hyderabad,376,4,1,15,Furnished
IN02176,Mumbai,1318,1,3,16.37,Semi
IN02177,Bangalore,805,1,2,15,Unfurnished
IN02178,Chennai,741,3,3,15,Unfurnished
IN02179,Kolkata,1860,4,1,22.07,Semi
IN02180,Kolkata,336,3,2,15,Semi
IN02181,Delhi,559,3,2,15,Unfurnished
IN02182,Mumbai,930,2,3,15,Semi
IN02183,Mumbai,2103,3,1,17.67,Semi
IN02184,Chennai,935,3,2,15,Semi
IN02185,Kolkata,681,4,2,15,Semi
IN02186,Chennai,1615,4,1,25.86,Furnished
IN02187,Chennai,1985,4,2,34.31,Unfurnished
IN02188,Mumbai,1593,2,3,20.67,Unfurnished
IN02189,Kolkata,841,2,2,15,Furnished
IN02190,Chennai,1028,4,3,15,Semi
IN02191,Delhi,527,2,3,15,Unfurnished
IN02192,Mumbai,1468,2,2,18.87,Semi
IN02193,Hyderabad,1423,2,1,20.11,Semi
IN02194,Kolkata,1565,3,3,15,Semi
IN02195,Bangalore,818,2,2,15,Furnished
IN02196,Bangalore,1402,3,3,16.08,Unfurnished
IN02197,Chennai,1575,2,1,15,Unfurnished
IN02198,Chennai,1173,2,2,15,Unfurnished
IN02199,Bangalore,300,1,3,15,Semi
IN02200,Delhi,591,2,2,15,Unfurnished
IN02201,Chennai,1385,3,2,20.74,Furnished
IN02202,Chennai,1482,4,1,16.01,Furnished
IN02203,Chennai,1181,3,1,15,Semi
IN02204,Delhi,836,2,3,15,Unfurnished
IN02205,Chennai,1139,3,1,15,Semi
IN02206,Kolkata,1224,4,2,15,Semi
IN02207,Hyderabad,1155,2,2,15,Unfurnished
IN02208,Mumbai,1238,1,3,15,Unfurnished
IN02209,Hyderabad,1684,3,3,15,Semi
IN02210,Delhi,1185,3,2,15,Unfurnished
IN02211,Bangalore,1413,4,1,25.81,Unfurnished
IN02212,Delhi,1735,3,2,28.73,Furnished
IN02213,Mumbai,507,2,2,15,Semi
IN02214,Hyderabad,1195,4,3,16.72,Unfurnished
IN02215,Hyderabad,1555,3,2,16.22,Semi
IN02216,Chennai,1158,2,2,15,Furnished
IN02217,Bangalore,1347,3,3,16.57,Semi
IN02218,Delhi,1865,3,3,17.97,Semi
IN02219,Chennai,300,1,2,15,Unfurnished
IN02220,Delhi,786,2,2,15,Semi
IN02221,Mumbai,823,2,2,15,Semi
IN02222,Hyderabad,1309,3,1,15.84,Semi
IN02223,Kolkata,1205,1,3,15,Semi
IN02224,Bangalore,1560,1,1,21.57,Unfurnished
IN02225,Hyderabad,1237,3,2,15,Furnished
IN02226,Hyderabad,1431,3,2,15,Unfurnished
IN02227,Chennai,1565,3,2,23.9,Unfurnished
IN02228,Chennai,763,2,1,15,Semi
IN02229,Bangalore,709,2,3,15,Furnished
IN02230,Chennai,1760,2,2,22.95,Semi
IN02231,Kolkata,548,3,3,15,Furnished
IN02232,Delhi,1424,2,2,15,Semi
IN02233,Delhi,810,3,2,15,Furnished
IN02234,Delhi,753,2,3,15,Unfurnished
IN02235,Kolkata,694,2,1,15,Unfurnished
IN02236,Mumbai,1198,4,2,15,Furnished
IN02237,Delhi,1651,1,1,30.78,Unfurnished
IN02238,Mumbai,1621,2,2,15,Semi
IN02239,Mumbai,885,2,1,15,Furnished
IN02240,Delhi,1231,3,1,17.19,Furnished
IN02241,Mumbai,1327,1,2,23.85,Unfurnished
IN02242,Hyderabad,954,4,2,15,Unfurnished
IN02243,Delhi,981,3,1,15,Furnished
IN02244,Hyderabad,914,2,2,15,Furnished
IN02245,Mumbai,531,1,2,15,Furnished
IN02246,Chennai,1642,3,3,26.67,Furnished
IN02247,Mumbai,1354,4,3,15,Unfurnished
IN02248,Bangalore,1324,4,3,24.31,Semi
IN02249,Mumbai,1557,4,3,19.79,Semi
IN02250,Bangalore,1743,4,2,28.38,Semi
IN02251,Delhi,780,1,2,15,Furnished
IN02252,Chennai,1252,2,2,15,Unfurnished
IN02253,Delhi,1125,1,3,15,Unfurnished
IN02254,Bangalore,1440,1,3,17.9,Unfurnished
IN02255,Kolkata,911,3,1,17.47,Semi
IN02256,Mumbai,1439,3,2,19.48,Unfurnished
IN02257,Delhi,300,3,2,15,Semi
IN02258,Chennai,351,2,2,15,Furnished
IN02259,Mumbai,619,2,3,15,Unfurnished
IN02260,Chennai,510,3,3,15,Semi
IN02261,Hyderabad,1490,3,2,15.06,Unfurnished
IN02262,Kolkata,533,3,2,15,Furnished
IN02263,Kolkata,765,4,2,15,Furnished
IN02264,Hyderabad,701,2,2,15,Semi
IN02265,Mumbai,613,4,2,15,Semi
IN02266,Hyderabad,1081,4,2,15,Semi
IN02267,Mumbai,359,3,2,15,Furnished
IN02268,Mumbai,1719,3,2,15,Semi
IN02269,Kolkata,498,3,2,15,Semi
IN02270,Delhi,1336,3,2,15.78,Semi
IN02271,Delhi,759,2,1,15,Unfurnished
IN02272,Chennai,1461,4,1,15,Unfurnished
IN02273,Bangalore,1639,3,2,19.25,Furnished
IN02274,Hyderabad,1348,2,3,20.73,Furnished
IN02275,Hyderabad,1072,1,3,15,Unfurnished
IN02276,Hyderabad,827,2,2,15,Furnished
IN02277,Bangalore,1633,3,2,28.62,Semi
IN02278,Mumbai,838,3,1,15,Semi
IN02279,Hyderabad,1381,2,1,15,Furnished
IN02280,Bangalore,662,4,2,15,Semi
IN02281,Delhi,1147,4,1,15,Semi
IN02282,Mumbai,1513,3,3,15.08,Semi
IN02283,Delhi,1307,3,2,20.66,Unfurnished
IN02284,Hyderabad,755,2,1,15,Semi
IN02285,Mumbai,469,2,1,15,Unfurnished
IN02286,Mumbai,683,2,2,15,Furnished
IN02287,Chennai,1228,2,3,16.27,Semi
IN02288,Mumbai,1357,2,1,15,Unfurnished
IN02289,Chennai,1422,1,2,20.09,Furnished
IN02290,Delhi,1580,3,2,15.61,Semi
IN02291,Chennai,1509,3,2,30.79,Unfurnished
IN02292,Kolkata,806,2,2,15,Furnished
IN02293,Mumbai,1217,3,2,16.42,Furnished
IN02294,Delhi,709,2,3,15,Furnished
IN02295,Delhi,1229,2,2,16.16,Semi
IN02296,Chennai,1553,2,3,24.27,Furnished
IN02297,Delhi,1252,4,2,15,Unfurnished
IN02298,Delhi,1188,2,3,15.87,Semi
IN02299,Bangalore,627,1,2,15,Unfurnished
IN02300,Delhi,745,2,1,15,Unfurnished
IN02301,Bangalore,381,2,3,15,Furnished
IN02302,Bangalore,1208,1,1,15.81,Furnished
IN02303,Kolkata,1411,3,3,15,Semi
IN02304,Kolkata,300,3,2,15,Furnished
IN02305,Bangalore,300,2,3,15,Unfurnished
IN02306,Mumbai,810,3,2,15,Unfurnished
IN02307,Kolkata,300,2,2,15,Semi
IN02308,Kolkata,1329,2,2,15,Furnished
IN02309,Hyderabad,1452,2,1,27.28,Furnished
IN02310,Bangalore,1095,2,2,19.51,Unfurnished
IN02311,Kolkata,895,4,3,15,Unfurnished
IN02312,Delhi,1698,4,3,17.36,Furnished
IN02313,Mumbai,1131,1,3,16.18,Semi
IN02314,Bangalore,715,2,3,15,Semi
IN02315,Mumbai,611,3,2,15,Unfurnished
IN02316,Kolkata,1490,1,2,24.53,Furnished
IN02317,Hyderabad,1618,3,1,15,Unfurnished
IN02318,Kolkata,1315,2,2,23.86,Furnished
IN02319,Bangalore,1266,2,1,18.72,Furnished
IN02320,Mumbai,1131,2,3,15,Semi
IN02321,Delhi,1384,1,2,20.96,Semi
IN02322,Chennai,862,4,1,15,Furnished
IN02323,Kolkata,1639,2,1,26.3,Furnished
IN02324,Kolkata,1849,3,2,32.79,Semi
IN02325,Kolkata,1313,2,2,18.59,Unfurnished
IN02326,Bangalore,1321,1,3,15,Semi
IN02327,Hyderabad,968,1,1,15,Unfurnished
IN02328,Mumbai,1333,1,3,20.34,Unfurnished
IN02329,Hyderabad,1031,2,2,15,Furnished
IN02330,Bangalore,2039,3,1,19.15,Furnished
IN02331,Kolkata,421,4,2,15,Unfurnished
IN02332,Chennai,1146,1,3,15,Furnished
IN02333,Kolkata,980,2,1,15.58,Semi
IN02334,Chennai,300,3,2,15,Furnished
IN02335,Chennai,1095,3,2,15,Furnished
IN02336,Hyderabad,1259,3,2,15,Unfurnished
IN02337,Chennai,1351,4,2,30.59,Semi
IN02338,Mumbai,806,3,1,15,Semi
IN02339,Bangalore,1465,3,1,15,Unfurnished
IN02340,Delhi,797,2,2,15,Furnished
IN02341,Delhi,1644,2,3,22.36,Semi
IN02342,Chennai,967,3,3,15,Unfurnished
IN02343,Mumbai,924,3,1,15,Unfurnished
IN02344,Delhi,383,3,3,15,Furnished
IN02345,Delhi,926,3,3,15,Semi
IN02346,Mumbai,485,4,2,15,Furnished
IN02347,Chennai,1393,2,2,17.52,Semi
IN02348,Bangalore,1355,3,2,18.03,Unfurnished
IN02349,Kolkata,1459,4,3,23.18,Semi
IN02350,Hyderabad,825,4,1,15,Semi
IN02351,Hyderabad,1304,4,3,15,Furnished
IN02352,Mumbai,1227,2,2,15,Furnished
IN02353,Mumbai,1035,4,1,15,Unfurnished
IN02354,Mumbai,1718,2,1,31.15,Furnished
IN02355,Delhi,483,2,1,15,Semi
IN02356,Chennai,656,4,2,15,Furnished
IN02357,Delhi,908,3,2,15,Furnished
IN02358,Kolkata,810,4,1,15,Semi
IN02359,Bangalore,839,2,2,15,Semi
IN02360,Kolkata,1042,2,2,15,Unfurnished
IN02361,Kolkata,1177,3,1,15,Semi
IN02362,Bangalore,1163,3,2,15.3,Semi
IN02363,Hyderabad,1091,4,3,15,Semi
IN02364,Chennai,1154,1,1,15,Furnished
IN02365,Delhi,1268,3,1,20.61,Unfurnished
IN02366,Mumbai,747,3,2,15,Semi
IN02367,Mumbai,880,2,1,15,Furnished
IN02368,Chennai,1158,1,2,21.3,Unfurnished
IN02369,Chennai,1214,2,1,15,Furnished
IN02370,Kolkata,804,2,2,15,Semi
IN02371,Mumbai,717,2,3,15,Furnished
IN02372,Kolkata,805,3,2,15,Unfurnished
IN02373,Bangalore,1226,1,1,18.7,Furnished
IN02374,Delhi,684,1,2,15,Furnished
IN02375,Hyderabad,973,1,1,15,Semi
IN02376,Hyderabad,1987,3,2,15.67,Unfurnished
IN02377,Delhi,961,3,1,18.96,Semi
IN02378,Kolkata,2328,4,1,32.8,Semi
IN02379,Delhi,376,4,3,15,Unfurnished
IN02380,Delhi,1278,4,2,21.14,Semi
IN02381,Hyderabad,1232,1,1,15,Semi
IN02382,Chennai,741,3,2,15,Unfurnished
IN02383,Kolkata,1084,4,2,16.53,Semi
IN02384,Kolkata,874,1,2,15,Unfurnished
IN02385,Mumbai,1809,1,2,26.1,Unfurnished
IN02386,Hyderabad,651,2,1,15,Semi
IN02387,Chennai,980,2,1,20.36,Semi
IN02388,Chennai,1416,4,2,20.94,Semi
IN02389,Kolkata,826,2,2,15,Unfurnished
IN02390,Mumbai,300,3,3,15,Furnished
IN02391,Kolkata,1863,2,3,30.14,Unfurnished
IN02392,Mumbai,745,2,2,15,Unfurnished
IN02393,Kolkata,1895,3,3,23.73,Unfurnished
IN02394,Bangalore,1010,2,3,15.07,Semi
IN02395,Mumbai,1221,3,2,15,Semi
IN02396,Hyderabad,883,3,3,15,Furnished
IN02397,Delhi,1279,2,1,15,Unfurnished
IN02398,Hyderabad,586,3,2,15,Unfurnished
IN02399,Delhi,1544,1,2,19.71,Semi
IN02400,Chennai,1010,2,3,15,Unfurnished
IN02401,Chennai,1286,4,2,17.04,Unfurnished
IN02402,Hyderabad,1434,2,2,25.34,Semi
IN02403,Hyderabad,1288,3,2,26.65,Unfurnished
IN02404,Hyderabad,1428,3,2,15.89,Unfurnished
IN02405,Hyderabad,1425,3,1,19.92,Semi
IN02406,Bangalore,1645,2,3,15,Unfurnished
IN02407,Chennai,1332,3,2,15,Furnished
IN02408,Mumbai,1143,2,2,16.19,Unfurnished
IN02409,Kolkata,2127,2,3,23.04,Furnished
IN02410,Mumbai,778,4,1,15,Semi
IN02411,Kolkata,1668,3,1,16.94,Furnished
IN02412,Delhi,1215,2,2,21.06,Semi
IN02413,Hyderabad,1774,3,3,25.53,Semi
IN02414,Bangalore,1134,3,2,15,Semi
IN02415,Mumbai,1448,3,3,16.14,Furnished
IN02416,Mumbai,590,2,3,15,Unfurnished
IN02417,Mumbai,573,1,3,15,Unfurnished
IN02418,Mumbai,1388,1,3,15.07,Semi
IN02419,Hyderabad,1329,3,1,15,Semi
IN02420,Kolkata,1239,2,1,22.68,Furnished
IN02421,Chennai,889,2,2,15,Unfurnished
IN02422,Chennai,1179,1,3,15,Semi
IN02423,Mumbai,768,4,2,15,Semi
IN02424,Kolkata,1198,3,2,21.65,Semi
IN02425,Chennai,1297,3,3,21.33,Semi
IN02426,Kolkata,1247,4,3,15,Unfurnished
IN02427,Kolkata,300,3,2,15,Semi
IN02428,Hyderabad,1599,2,2,15,Unfurnished
IN02429,Mumbai,1892,2,3,19.08,Furnished
IN02430,Kolkata,1504,2,3,15,Semi
IN02431,Bangalore,639,2,1,15,Unfurnished
IN02432,Chennai,1171,3,2,16.11,Unfurnished
IN02433,Mumbai,870,3,3,15,Unfurnished
IN02434,Chennai,1086,2,3,15,Unfurnished
IN02435,Bangalore,562,4,2,15,Semi
IN02436,Mumbai,1514,3,2,19.03,Furnished
IN02437,Kolkata,1116,2,1,15,Semi
IN02438,Chennai,2390,3,1,30.63,Furnished
IN02439,Chennai,1196,4,2,16.65,Semi
IN02440,Delhi,882,3,3,15,Furnished
IN02441,Chennai,1365,3,2,15,Unfurnished
IN02442,Chennai,1151,1,2,15.94,Semi
IN02443,Mumbai,1753,3,2,19.19,Furnished
IN02444,Kolkata,829,2,3,15,Semi
IN02445,Hyderabad,984,2,1,15,Furnished
IN02446,Delhi,1372,3,2,15,Unfurnished
IN02447,Kolkata,857,1,2,15,Furnished
IN02448,Kolkata,501,1,1,15,Furnished
IN02449,Mumbai,1645,1,2,20.35,Semi
IN02450,Delhi,1361,1,2,15.64,Semi
IN02451,Hyderabad,1724,3,3,15,Furnished
IN02452,Bangalore,788,2,1,15,Furnished
IN02453,Chennai,1131,3,2,15,Unfurnished
IN02454,Mumbai,1195,4,2,15,Semi
IN02455,Kolkata,1557,3,3,15,Furnished
IN02456,Kolkata,1129,3,2,19.82,Semi
IN02457,Delhi,967,2,3,15,Semi
IN02458,Kolkata,1210,3,1,20.5,Unfurnished
IN02459,Kolkata,609,1,3,15,Unfurnished
IN02460,Bangalore,300,4,2,15,Furnished
IN02461,Chennai,1910,1,3,15.65,Semi
IN02462,Bangalore,1505,2,1,20.07,Semi
IN02463,Hyderabad,687,2,1,15,Semi
IN02464,Bangalore,1266,4,3,15,Unfurnished
IN02465,Kolkata,1366,2,2,21.95,Furnished
IN02466,Bangalore,813,1,2,15,Unfurnished
IN02467,Delhi,1233,4,1,15.4,Furnished
IN02468,Chennai,564,3,1,15,Semi
IN02469,Hyderabad,1738,2,1,21.51,Semi
IN02470,Delhi,842,3,2,15,Furnished
IN02471,Delhi,1477,3,1,17.42,Semi
IN02472,Bangalore,1615,2,1,28.74,Unfurnished
IN02473,Hyderabad,1355,2,1,15,Semi
IN02474,Kolkata,1388,2,2,15,Furnished
IN02475,Kolkata,300,3,2,15,Furnished
IN02476,Delhi,1236,1,2,15,Semi
IN02477,Chennai,748,2,3,15,Unfurnished
IN02478,Hyderabad,548,3,2,15,Furnished
IN02479,Chennai,730,1,2,15,Furnished
IN02480,Kolkata,1254,2,1,15,Semi
IN02481,Hyderabad,1928,2,2,25.49,Furnished
IN02482,Delhi,1034,4,2,15,Unfurnished
IN02483,Hyderabad,784,2,3,15,Unfurnished
IN02484,Hyderabad,995,3,2,15,Furnished
IN02485,Delhi,1283,2,2,18.45,Furnished
IN02486,Chennai,987,4,2,15.05,Furnished
IN02487,Mumbai,686,4,2,15,Unfurnished
